Metric,Value
TotalLookups,100
SuccessfulLookups,99
SuccessRate,99.00
TotalTimeMs,15424.00
AverageTimeMs,154.24
MinTimeMs,50.00
MaxTimeMs,287.00
TotalHops,519
AverageHops,5.19
MinHops,2
MaxHops,9
